marker_id,num_frames,first_frame,last_frame,frames
0,12,38,49,38;39;40;41;42;43;44;45;46;47;48;49
1,24,7,36,7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;32;33;34;35;36
2,8,6,17,6;10;12;13;14;15;16;17
3,8,55,62,55;56;57;58;59;60;61;62
4,5,67,72,67;68;69;71;72
5,12,11,86,11;12;13;14;15;80;81;82;83;84;85;86
6,13,9,82,9;10;11;12;71;72;73;74;75;76;77;78;82
7,13,8,78,8;9;10;11;70;71;72;73;74;75;76;77;78
8,8,77,91,77;83;84;87;88;89;90;91
9,5,124,130,124;125;126;128;130
10,19,104,123,104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;123
11,4,0,130,0;1;129;130
12,27,92,118,92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118
13,5,0,130,0;1;128;129;130
