observer_type,observer_id,camera_name,frame_id,image_path,marker_id,marker_length_m,fx,fy,cx,cy,pnp_success,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,center_u,center_v,area_px2,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v
moving,moving_frame_000063,moving_calib_camera,63,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0063.png,14,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.9136498206763983,1.4585329454498583,-0.6329031347547392,0.08895129568791124,0.3062565176954575,2.3805287292545483,2.40179566542239,674.75,480.25,3406.5,696.0,449.0,717.0,498.0,652.0,512.0,634.0,462.0
moving,moving_frame_000066,moving_calib_camera,66,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0066.png,14,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.6991984233073436,1.5553493750618403,-0.8106337182473043,0.3678460269213484,0.6314506144592512,2.2223004133900726,2.33937164755335,794.0,625.0,4070.0,820.0,594.0,838.0,651.0,766.0,656.0,752.0,599.0
moving,moving_frame_000058,moving_calib_camera,58,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0058.png,14,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.9383106609404277,1.2123915697536076,-0.5780169687093806,-0.2656626315527099,0.4283662914958343,2.4230306964083255,2.4749044565862377,538.0,525.0,3188.0,556.0,493.0,581.0,536.0,519.0,558.0,496.0,513.0
moving,moving_frame_000062,moving_calib_camera,62,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0062.png,14,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.9864503167062846,1.4236047434463606,-0.609692207693665,-0.011015032996416714,0.19679993104887897,2.4030193001918567,2.411089650118244,635.75,436.75,3307.0,656.0,405.0,678.0,452.0,614.0,469.0,595.0,421.0
moving,moving_frame_000056,moving_calib_camera,56,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0056.png,14,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.9107959301219322,1.1306474054309648,-0.5953565910530594,-0.38727228915778605,0.6358232825295234,2.434294060700926,2.545592003153674,492.0,603.5,3260.0,510.0,570.0,535.0,613.0,473.0,638.0,450.0,593.0
moving,moving_frame_000055,moving_calib_camera,55,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0055.png,14,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.8567478186123518,1.0777478201360648,-0.6043710450892521,-0.4471016576851477,0.7380950241636531,2.4114947130038313,2.5612479200275367,467.5,645.25,3285.0,486.0,612.0,511.0,654.0,448.0,680.0,425.0,635.0
moving,moving_frame_000061,moving_calib_camera,61,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0061.png,14,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,2.0318413355528753,1.3775765008786809,-0.5497663040699725,-0.10062275078331391,0.14197919477316676,2.4150641961836556,2.421325690899893,601.25,415.25,3276.0,620.0,383.0,644.0,429.0,581.0,448.0,560.0,401.0
moving,moving_frame_000066,moving_calib_camera,66,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0066.png,3,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-1.9529625542152478,-0.5510007107411566,1.7733115014134218,1.0770119672647394,0.32763973153844606,1.9650981573739879,2.2647104316951188,1150.5,515.25,3986.5,1140.0,458.0,1186.0,514.0,1159.0,573.0,1117.0,516.0
moving,moving_frame_000064,moving_calib_camera,64,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0064.png,3,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-1.9869119540921147,-0.5748005894311868,1.5793528062200697,0.901290122173231,0.07471892987029771,2.121452491834804,2.3061802787119876,1035.75,392.75,3242.0,1025.0,341.0,1067.0,389.0,1045.0,445.0,1006.0,396.0
moving,moving_frame_000154,moving_calib_camera,154,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0154.png,3,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.5465579602754476,0.2160842806484772,-1.1182865767327324,0.13171831968998726,0.5615114465129935,2.319416973404262,2.3900501912769228,692.25,585.0,2434.5,671.0,571.0,715.0,542.0,713.0,598.0,670.0,629.0
moving,moving_frame_000065,moving_calib_camera,65,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0065.png,3,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-1.9758520716233334,-0.5613502495642867,1.6945812179431576,0.99173464659816,0.2028699650273671,2.047101519408284,2.283707175348251,1091.25,452.25,3545.0,1081.0,398.0,1124.0,449.0,1100.0,507.0,1060.0,455.0
moving,moving_frame_000059,moving_calib_camera,59,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0059.png,3,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.1186126949569526,-0.48712775096484384,1.3433263420230006,0.4743270497905584,-0.10705352242981339,2.309485396010733,2.3601206327674227,831.5,316.75,2463.0,816.0,271.0,856.0,308.0,846.0,363.0,808.0,325.0
moving,moving_frame_000053,moving_calib_camera,53,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0053.png,3,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.4441154928822035,-0.2606063163922736,1.3103588990939457,0.07675950582228605,0.44612423122352113,2.439537251069175,2.481181341775124,669.75,530.0,2077.5,651.0,488.0,689.0,517.0,688.0,573.0,651.0,542.0
moving,moving_frame_000060,moving_calib_camera,60,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0060.png,3,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.077053146521159,-0.5198519423541835,1.357938043539809,0.5364451869002989,-0.18639929399614785,2.278137655228737,2.3478563225891502,859.5,283.75,2588.0,845.0,237.0,885.0,275.0,873.0,331.0,835.0,292.0
moving,moving_frame_000057,moving_calib_camera,57,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0057.png,3,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.2224689191450153,-0.4038972877396066,1.3485712728300385,0.34957991330088156,0.06300735509013229,2.381243644376956,2.4075916049996002,777.0,384.5,2222.0,760.0,341.0,799.0,374.0,793.0,429.0,756.0,394.0
moving,moving_frame_000153,moving_calib_camera,153,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0153.png,3,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.507569786397069,0.24233253540334712,-1.1248630886725346,0.19079373565279517,0.43126452357869,2.413871554890355,2.4595054832975434,713.0,526.0,2144.0,694.0,512.0,734.0,485.0,732.0,539.0,692.0,568.0
moving,moving_frame_000054,moving_calib_camera,54,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0054.png,3,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.3837519733441184,-0.313675968386693,1.2975713742336288,0.1472973228703129,0.34794921905093207,2.4452342194264753,2.4742545439418957,696.5,492.25,2096.0,678.0,450.0,717.0,481.0,714.0,535.0,677.0,503.0
moving,moving_frame_000039,moving_calib_camera,39,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0039.png,3,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.5352946027898047,-0.14362010464475714,1.5941394735864025,-0.08773474633122112,0.8444802187963439,3.231680156720401,3.3413471625966253,615.0,603.0,920.0,605.0,571.0,625.0,589.0,625.0,636.0,605.0,616.0
moving,moving_frame_000065,moving_calib_camera,65,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0065.png,16,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.4690878197365724,0.055633699781482894,-0.17667828418206497,-0.8533318670040276,-0.652709520177549,2.3785913932047804,2.609962070376281,306.25,104.25,4400.5,264.0,74.0,334.0,71.0,347.0,134.0,280.0,138.0
moving,moving_frame_000053,moving_calib_camera,53,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0053.png,4,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.4378552115278382,-0.2779806846588924,1.3002633926494762,0.40869496437270175,-0.44703745901055725,1.5094930560370043,1.6264818935008636,893.5,83.75,8818.0,858.0,26.0,941.0,33.0,926.0,146.0,849.0,130.0
moving,moving_frame_000081,moving_calib_camera,81,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0081.png,16,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.6525519690815025,-0.014403324868378463,0.06800199740640528,-0.40355941167351855,0.04215977943567616,1.8387723084235958,1.8830085629061226,436.0,380.5,6357.0,388.0,342.0,475.0,344.0,482.0,419.0,399.0,417.0
moving,moving_frame_000084,moving_calib_camera,84,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0084.png,16,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.629414905699411,0.05334390420882178,-0.23891491260362943,-0.7230653362762178,0.2217733793582607,1.497920729194639,1.6780266455772455,190.5,496.5,9784.0,121.0,459.0,236.0,449.0,257.0,533.0,148.0,545.0
moving,moving_frame_000083,moving_calib_camera,83,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0083.png,16,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.643059760033669,0.029513450873776784,-0.12467813516188397,-0.6367819776415558,0.15916408547813196,1.625748707119543,1.7532493695581488,275.5,450.0,8190.0,215.0,412.0,318.0,407.0,333.0,488.0,236.0,493.0
moving,moving_frame_000082,moving_calib_camera,82,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/dataset/raw_images/moving/frame_0082.png,16,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.6491390191053665,0.0031414421800240845,-0.016241964691862322,-0.5303491908874464,0.098715583930743,1.7429180364438643,1.8244939880819262,357.0,411.75,7059.0,304.0,373.0,397.0,373.0,408.0,450.0,319.0,451.0
